Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Temperature
1006,-344,16750,56,14,38,243
996,-334,16764,61,13,38,243
964,-358,16786,65,18,35,243
982,-364,16814,64,22,35,243
986,-338,16766,62,21,44,243
972,-372,16778,58,25,28,243
1000,-344,16762,65,30,32,243
1002,-366,16806,65,17,36,243
966,-368,16776,63,9,37,242
1028,-368,16754,63,21,27,243
970,-340,16774,63,61,44,243
1000,-382,16776,63,47,44,243
992,-360,16780,65,45,46,243
984,-358,16788,69,29,36,243
984,-346,16792,64,14,46,243
956,-368,16798,71,14,31,243
998,-362,16756,67,-13,37,243
1002,-358,16790,64,13,30,243
996,-354,16806,60,8,34,243
984,-350,16754,63,37,28,243
962,-386,16788,66,53,40,243
974,-368,16788,61,33,33,243
992,-364,16790,60,32,28,243
970,-362,16780,60,37,43,243
972,-358,16794,57,12,41,243
998,-374,16784,64,4,36,243
990,-366,16770,67,17,50,243
956,-336,16800,60,36,35,243
982,-362,16778,65,17,28,243
984,-386,16780,51,27,38,243
1006,-366,16846,61,26,35,243
964,-354,16786,53,8,32,243
1002,-338,16728,65,32,39,243
962,-350,16926,64,46,32,243
992,-344,16882,57,8,27,243
1014,-330,16742,67,43,32,243
984,-344,16764,59,50,32,243
1000,-362,16798,58,-19,39,243
974,-360,16742,60,3,42,243
990,-350,16814,64,29,40,243
978,-340,16780,61,32,35,242
970,-366,16802,70,31,35,243
1012,-330,16752,63,47,36,243
984,-358,16856,58,37,39,243
1006,-376,16772,53,17,34,243
996,-348,16754,69,32,32,243
982,-368,16842,50,43,36,243
992,-364,16806,66,0,40,243
1000,-344,16748,67,29,35,243
986,-362,16758,60,44,40,243
1004,-358,16820,64,25,35,243
978,-370,16784,60,12,31,243
990,-368,16718,56,48,33,243
968,-366,16810,66,26,42,243
960,-354,16818,57,18,33,243
978,-380,16772,61,17,26,242
984,-352,16772,68,27,39,243
998,-372,16784,65,14,49,243
992,-382,16778,64,16,32,243
1012,-346,16802,58,25,34,243
984,-330,16792,51,32,41,242
